family,level,compression,psnr,msssim
coif3,9,74.08800984553362,59.9781186432322,0.9944222568139001
coif3,10,74.08493209035797,61.19189927498635,0.994456686204406
coif4,1,74.0681891022024,50.214864847619445,0.9920121333457471
coif4,2,74.11447854004426,49.72765783845283,0.9920242531364831
coif4,3,74.12756925872472,49.472553953881,0.9922067000278838
coif4,4,74.12531223826258,49.29130128644674,0.9924534305446121
coif4,5,74.11279603388157,49.16088688502846,0.9926665886234067
coif4,6,74.1008953805357,49.03202650575533,0.9928229742272938
coif4,7,74.10910272767079,48.947936106259675,0.992964672227323
coif4,8,74.08764051491255,48.90136186537602,0.9930757078998372
coif4,9,74.0827161066315,48.79129941057123,0.99315972661228
coif4,10,74.07668370648722,48.867056972127344,0.9931846486661661
coif5,1,74.05460594269384,51.17169053089825,0.9922801644952507
coif5,2,74.09379602526386,51.147140644662514,0.9923360393310869
coif5,3,74.110087609327,51.21017114688984,0.9925118748204215
coif5,4,74.11460165025129,51.30101273704935,0.9927428355662368
coif5,5,74.1124267032605,51.38524993067197,0.9929345695816432
coif5,6,74.1032344744692,51.471492092929736,0.9930796426686868
coif5,7,74.09945909478706,51.57567553092299,0.99320228470852
coif5,8,74.10175715198488,51.61266636863953,0.993280039723162
coif5,9,74.09794073556706,51.59535659721244,0.993381265713588
coif5,10,74.08460379647256,51.61697779094037,0.993454778294643
coif6,1,74.05238995896737,53.604406729592846,0.9931471611893252
coif6,2,74.07348284110454,54.69736041167065,0.9935022075274331
coif6,3,74.08439861279419,55.73267525250903,0.9937996564998512
coif6,4,74.08944613128227,56.6693808349386,0.9940108415760914
coif6,5,74.09137485785901,57.49223153440717,0.9941377658561585
coif6,6,74.09100552723793,58.15694501904535,0.9941991113562928
coif6,7,74.08234677601043,58.98509531477926,0.9942768435605164
coif6,8,74.08751740470552,59.61580033081295,0.9943345421496337
coif6,9,74.08878954351145,60.711211689406845,0.994432515014562
coif6,10,74.08874850677579,61.53332378910743,0.994430687581173
coif7,1,74.05575497129276,54.22197139914622,0.9933445891927366
coif7,2,74.07463186970344,55.90391569511561,0.9937974893898682
coif7,3,74.07828413917855,57.434688555473784,0.9941030704152791
coif7,4,74.08246988621744,58.840759345925164,0.994290750500434
coif7,5,74.08415239238013,60.03003297334435,0.9943906663273985
coif7,6,74.08349580460933,60.960075068261006,0.9944310948495796
